n = 17;


p =
  [
    [ 5	91	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 67	11	19	0	1	0	0	2	0	0	0	0	0	0	0	0	0	]
    [ 71	3	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 57	25	1	2	6	1	8	0	0	0	0	0	0	0	0	0	0	]
    [ 64	4	24	0	0	2	1	1	4	0	0	0	0	0	0	0	0	]
    [ 19	35	15	4	11	9	6	0	0	1	0	0	0	0	0	0	0	]
    [ 35	43	12	3	7	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 72	4	13	9	0	1	1	0	0	0	0	0	0	0	0	0	0	]
    [ 94	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 19	29	5	3	16	2	1	13	10	2	0	0	0	0	0	0	0	]
    [ 48	4	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 9	77	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 4	29	55	4	5	1	1	0	0	1	0	0	0	0	0	0	0	]
    [ 41	22	15	16	0	1	3	0	2	0	0	0	0	0	0	0	0	]
    [ 13	22	14	37	8	4	1	1	0	0	0	0	0	0	0	0	0	]
    [ 9	20	26	15	22	4	4	0	0	0	0	0	0	0	0	0	0	]
    [ 64	1	30	3	1	1	0	0	0	0	0	0	0	0	0	0	0	]
  ];

