n = 15;


p =
  [
    [0   0   0   0   0   0   0   51  0   0   0   49  0   0   0  ]
    [0   6   0   0   0   0   0   0   0   0   0   0   17  77  0  ]
    [0   0   0   0   0   0   9   36  0   0   0   0   6   26  23 ]
    [0   0   0   93  0   0   0   0   7   0   0   0   0   0   0  ]
    [0   0   0   0   26  74  0   0   0   0   0   0   0   0   0  ]
    [0   0   0   0   0   0   0   62  38  0   0   0   0   0   0  ]
    [0   0   0   64  0   0   0   0   0   0   0   36  0   0   0  ]
    [0   0   0   0   0   0   0   55  0   0   0   45  0   0   0  ]
    [0   16  0   13  0   12  0   7   0   0   35  0   0   17  0  ]
    [47  1   0   2   0   0   33  17  0   0   0   0   0   0   0  ]
    [0   0   0   0   0   0   0   0   28  0   72  0   0   0   0  ]
    [0   0   0   0   0   0   0   0   0   0   0   0   9   91  0  ]
    [0   0   0   0   0   0   49  39  0   0   0   0   0   0   12 ]
    [0   0   0   0   0   0   25  0   0   0   0   0   0   0   75 ]
    [18  0   0   0   0   0   63  0   0   0   19  0   0   0   0  ]
  ];
