n = 19;


p =
  [
    [ 23	50	13	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 85	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 73	16	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 67	27	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 17	69	3	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 4	11	74	6	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	]
    [ 63	20	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 28	36	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 92	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 89	3	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 63	25	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 22	53	21	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 73	22	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 45	50	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 96	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 26	48	9	5	8	2	0	2	0	0	0	0	0	0	0	0	0	0	0	]
    [ 13	30	9	1	22	3	15	2	2	3	0	0	0	0	0	0	0	0	0	]
    [ 1	80	1	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	]
    [ 21	0	75	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	]
  ];

