n = 11;


p =
  [
    [0   13  33  0   0   0   0   0   0   0   54 ]
    [16  0   0   0   30  0   0   0   54  0   0  ]
    [0   0   0   36  0   0   64  0   0   0   0  ]
    [25  0   0   0   0   0   75  0   0   0   0  ]
    [0   0   0   0   76  24  0   0   0   0   0  ]
    [0   7   0   20  0   0   62  0   11  0   0  ]
    [0   0   0   95  5   0   0   0   0   0   0  ]
    [30  13  0   57  0   0   0   0   0   0   0  ]
    [0   0   0   0   0   89  0   0   0   0   11 ]
    [0   47  0   0   0   0   25  0   1   0   27 ]
    [0   0   47  0   0   23  13  0   0   17  0  ]
  ];
