n = 17;


p =
  [
    [0   0   0   0   0   0   0   0   0   0   60  0   0   40  0   0   0  ]
    [15  0   0   0   8   0   61  0   0   0   0   0   0   16  0   0   0  ]
    [0   0   0   0   30  0   0   0   70  0   0   0   0   0   0   0   0  ]
    [0   0   0   42  26  0   32  0   0   0   0   0   0   0   0   0   0  ]
    [0   0   0   0   0   0   32  2   0   13  0   0   0   53  0   0   0  ]
    [0   0   0   0   0   0   27  0   0   0   1   0   43  0   0   0   29 ]
    [1   0   0   0   0   0   27  0   52  0   20  0   0   0   0   0   0  ]
    [0   8   0   0   0   14  0   0   74  0   0   0   0   0   0   0   4  ]
    [6   0   30  0   0   0   0   0   0   64  0   0   0   0   0   0   0  ]
    [0   0   0   0   0   0   0   19  0   0   0   81  0   0   0   0   0  ]
    [0   0   0   0   53  0   47  0   0   0   0   0   0   0   0   0   0  ]
    [0   0   0   0   0   8   0   0   0   0   0   0   92  0   0   0   0  ]
    [50  0   0   0   0   0   0   0   0   0   33  0   0   17  0   0   0  ]
    [0   0   0   0   0   0   0   62  0   0   0   0   23  15  0   0   0  ]
    [62  0   0   0   0   15  0   0   0   0   20  0   0   0   0   3   0  ]
    [0   0   0   0   0   22  0   0   22  4   0   0   0   0   0   52  0  ]
    [0   0   0   0   0   0   85  0   0   0   0   0   0   0   0   15  0  ]
  ];
