n = 13;


p =
  [
    [0   0   0   0   0   0   24  0   0   76  0   0   0  ]
    [0   0   0   0   2   10  0   12  40  15  17  2   2  ]
    [0   0   0   55  0   0   45  0   0   0   0   0   0  ]
    [0   0   0   0   0   59  0   0   0   0   0   0   41 ]
    [0   0   0   20  0   0   0   0   0   80  0   0   0  ]
    [0   87  0   0   0   0   0   0   0   0   0   0   13 ]
    [6   0   0   0   0   0   12  0   67  15  0   0   0  ]
    [3   0   0   0   0   72  0   0   0   0   25  0   0  ]
    [0   57  0   0   0   0   0   36  0   7   0   0   0  ]
    [0   0   0   19  0   0   0   0   0   0   0   81  0  ]
    [0   0   0   30  46  0   0   24  0   0   0   0   0  ]
    [0   76  0   0   23  0   0   0   0   0   0   1   0  ]
    [0   0   0   0   0   0   0   0   0   0   57  0   43 ]
  ];
