n = 15;


p =
  [
    [ 48	25	12	10	0	4	1	0	0	0	0	0	0	0	0	]
    [ 69	21	8	0	2	0	0	0	0	0	0	0	0	0	0	]
    [ 40	8	38	10	4	0	0	0	0	0	0	0	0	0	0	]
    [ 23	58	4	4	8	1	1	0	0	0	0	1	0	0	0	]
    [ 48	39	4	9	0	0	0	0	0	0	0	0	0	0	0	]
    [ 41	33	15	1	5	2	3	0	0	0	0	0	0	0	0	]
    [ 41	37	16	2	4	0	0	0	0	0	0	0	0	0	0	]
    [ 30	35	8	23	4	0	0	0	0	0	0	0	0	0	0	]
    [ 13	56	3	16	1	0	11	0	0	0	0	0	0	0	0	]
    [ 82	11	7	0	0	0	0	0	0	0	0	0	0	0	0	]
    [ 14	26	47	0	6	7	0	0	0	0	0	0	0	0	0	]
    [ 78	14	7	1	0	0	0	0	0	0	0	0	0	0	0	]
    [ 94	1	2	1	2	0	0	0	0	0	0	0	0	0	0	]
    [ 32	42	19	4	3	0	0	0	0	0	0	0	0	0	0	]
    [ 18	66	14	1	0	0	0	1	0	0	0	0	0	0	0	]
  ];

